t,market_price,fair_value,bid,ask,fill,cash,inventory,unrealized_pnl,total_pnl
0,0.72,0.72,0.7,0.74,,0.0,0,0.0,0.0
1,0.7260943415950886,0.72,0.7,0.74,,0.0,0,0.0,0.0
2,0.7049899423905243,0.72,0.7,0.74,,0.0,0,0.0,0.0
3,0.7207494691871272,0.72,0.7,0.74,,0.0,0,0.0,0.0
4,0.7395232900555951,0.72,0.7,0.74,,0.0,0,0.0,0.0
5,0.6995264217797387,0.72,0.7,0.74,buy,-0.7,1,0.6995264217797387,-0.0004735782202612837
6,0.6745065105535054,0.6545454545454544,0.6345454545454544,0.6745454545454544,,-0.7,1,0.6745065105535054,-0.025493489446494544
7,0.6793379930891759,0.6545454545454544,0.6345454545454544,0.6745454545454544,sell,-0.025454545454545507,0,0.0,-0.025454545454545507
8,0.6750462415878454,0.6833333333333332,0.6633333333333332,0.7033333333333333,,-0.025454545454545507,0,0.0,-0.025454545454545507
9,0.6769579063583674,0.6833333333333332,0.6633333333333332,0.7033333333333333,,-0.025454545454545507,0,0.0,-0.025454545454545507
10,0.6620491324889775,0.6833333333333332,0.6633333333333332,0.7033333333333333,buy,-0.6887878787878787,1,0.6620491324889775,-0.026738746298901273
11,0.6825346353617852,0.6307692307692307,0.6107692307692307,0.6507692307692308,sell,-0.03801864801864796,0,0.0,-0.03801864801864796
12,0.6999637423022749,0.6571428571428571,0.6371428571428571,0.6771428571428572,sell,0.6391242091242092,-1,-0.6999637423022749,-0.060839533178065675
13,0.7022861691383855,0.6799999999999999,0.6599999999999999,0.7,sell,1.339124209124209,-2,-1.404572338276771,-0.06544812915256193
14,0.7257166848208269,0.7,0.6799999999999999,0.72,sell,2.0591242091242092,-3,-2.1771500544624804,-0.11802584533827121
15,0.7347810374248264,0.7176470588235294,0.6976470588235294,0.7376470588235294,,2.0591242091242092,-3,-2.204343112274479,-0.14521890315026997
16,0.7168561362959203,0.7176470588235294,0.6976470588235294,0.7376470588235294,,2.0591242091242092,-3,-2.150568408887761,-0.09144419976355156
17,0.7243883451627742,0.7176470588235294,0.6976470588235294,0.7376470588235294,,2.0591242091242092,-3,-2.1731650354883225,-0.11404082636411328
18,0.7049912758880554,0.7176470588235294,0.6976470588235294,0.7376470588235294,,2.0591242091242092,-3,-2.1149738276641665,-0.05584961853995729
19,0.7233107181197981,0.7176470588235294,0.6976470588235294,0.7376470588235294,,2.0591242091242092,-3,-2.1699321543593943,-0.11080794523518511
20,0.7221466639940831,0.7176470588235294,0.6976470588235294,0.7376470588235294,,2.0591242091242092,-3,-2.1664399919822492,-0.10731578285804
21,0.7183420835234737,0.7176470588235294,0.6976470588235294,0.7376470588235294,,2.0591242091242092,-3,-2.155026250570421,-0.09590204144621195
22,0.7048063884592212,0.7176470588235294,0.6976470588235294,0.7376470588235294,,2.0591242091242092,-3,-2.1144191653776634,-0.05529495625345415
23,0.7300168958097407,0.7176470588235294,0.6976470588235294,0.7376470588235294,,2.0591242091242092,-3,-2.1900506874292223,-0.13092647830501303
24,0.7264254613778777,0.7176470588235294,0.6976470588235294,0.7376470588235294,,2.0591242091242092,-3,-2.179276384133633,-0.12015217500942388
25,0.7175376318657216,0.7176470588235294,0.6976470588235294,0.7376470588235294,,2.0591242091242092,-3,-2.152612895597165,-0.0934886864729556
26,0.710618079262671,0.7176470588235294,0.6976470588235294,0.7376470588235294,,2.0591242091242092,-3,-2.131854237788013,-0.07273002866380374
