t,market_price,fair_value,reservation_price,bid,ask,fill,cash,inventory,unrealized_pnl,total_pnl
0,0.72,0.72,0.72,0.6983471220524653,0.7416528779475347,,0.0,0,0.0,0.0
1,0.7260943415950886,0.72,0.72,0.6983550510944719,0.741644948905528,,0.0,0,0.0,0.0
2,0.7049899423905243,0.72,0.72,0.6983629801364786,0.7416370198635214,,0.0,0,0.0,0.0
3,0.7207494691871272,0.72,0.72,0.6983709091784851,0.7416290908215148,,0.0,0,0.0,0.0
4,0.7395232900555951,0.72,0.72,0.6983788382204917,0.7416211617795082,,0.0,0,0.0,0.0
5,0.6995264217797387,0.72,0.72,0.6983867672624984,0.7416132327375016,,0.0,0,0.0,0.0
6,0.6745065105535054,0.72,0.72,0.6983946963045049,0.741605303695495,buy,-0.6983946963045049,1,0.6745065105535054,-0.02388818575099949
7,0.6793379930891759,0.6545454545454544,0.6514848443309078,0.6298874696774194,0.6730822189843962,sell,-0.02531247732010866,0,0.0,-0.02531247732010866
8,0.6750462415878454,0.6833333333333332,0.6833333333333332,0.6617438877218514,0.704922778944815,,-0.02531247732010866,0,0.0,-0.02531247732010866
9,0.6769579063583674,0.6833333333333332,0.6833333333333332,0.661751816763858,0.7049148499028085,,-0.02531247732010866,0,0.0,-0.02531247732010866
10,0.6620491324889775,0.6833333333333332,0.6833333333333332,0.6617597458058646,0.7049069208608019,,-0.02531247732010866,0,0.0,-0.02531247732010866
11,0.6825346353617852,0.6833333333333332,0.6833333333333332,0.6617676748478711,0.7048989918187953,,-0.02531247732010866,0,0.0,-0.02531247732010866
12,0.6999637423022749,0.6833333333333332,0.6833333333333332,0.6617756038898778,0.7048910627767887,,-0.02531247732010866,0,0.0,-0.02531247732010866
13,0.7022861691383855,0.6833333333333332,0.6833333333333332,0.6617835329318844,0.7048831337347821,,-0.02531247732010866,0,0.0,-0.02531247732010866
14,0.7257166848208269,0.6833333333333332,0.6833333333333332,0.6617914619738909,0.7048752046927755,sell,0.6795627273726669,-1,-0.7257166848208269,-0.04615395744815998
15,0.7347810374248264,0.7076923076923076,0.7106260532347487,0.689092110917313,0.7321599955521844,sell,1.4117227229248512,-2,-1.4695620748496527,-0.057839351924801496
16,0.7168561362959203,0.7285714285714285,0.7344072034882843,0.7128811902128552,0.7559332167637133,,1.4117227229248512,-2,-1.4337122725918405,-0.021989549666989294
17,0.7243883451627742,0.7285714285714285,0.7343754873202579,0.7128574030868354,0.7558935715536804,,1.4117227229248512,-2,-1.4487766903255483,-0.03705396740069711
18,0.7049912758880554,0.7285714285714285,0.7343437711522315,0.7128336159608156,0.7558539263436473,buy,0.6988891069640356,-1,-0.7049912758880554,-0.006102168924019824
19,0.7233107181197981,0.6799999999999999,0.6828703132063882,0.661368087056979,0.7043725393557975,sell,1.403261646319833,-2,-1.4466214362395962,-0.04335978991976308
20,0.7221466639940831,0.7,0.7057089102447501,0.6842146131373474,0.7272032073521528,,1.403261646319833,-2,-1.4442933279881662,-0.04103168166833315
21,0.7183420835234737,0.7,0.7056771940767238,0.6841908260113277,0.7271635621421199,,1.403261646319833,-2,-1.4366841670469475,-0.03342252072711438
22,0.7048063884592212,0.7,0.7056454779086974,0.6841670388853078,0.7271239169320869,,1.403261646319833,-2,-1.4096127769184423,-0.006351130598609256
23,0.7300168958097407,0.7,0.7056137617406709,0.684143251759288,0.7270842717220538,sell,2.130345918041887,-3,-2.1900506874292223,-0.059704769387335155
24,0.7264254613778777,0.7176470588235294,0.7260201271824963,0.7045575462431201,0.7474827081218726,,2.130345918041887,-3,-2.179276384133633,-0.048930466091746005
25,0.7175376318657216,0.7176470588235294,0.7259725529304568,0.7045179010330871,0.7474272048278265,,2.130345918041887,-3,-2.152612895597165,-0.022266977555277734
26,0.710618079262671,0.7176470588235294,0.7259249786784172,0.7044782558230541,0.7473717015337803,,2.130345918041887,-3,-2.131854237788013,-0.0015083197461258635
27,0.7217333590106044,0.7176470588235294,0.7258774044263776,0.7044386106130212,0.747316198239734,,2.130345918041887,-3,-2.1652000770318134,-0.034854158989926276
28,0.7289555723473558,0.7176470588235294,0.725829830174338,0.7043989654029881,0.7472606949456879,,2.130345918041887,-3,-2.1868667170420673,-0.056520799000180144
29,0.7367624459619078,0.7176470588235294,0.7257822559222984,0.7043593201929551,0.7472051916516417,,2.130345918041887,-3,-2.210287337885723,-0.07994141984383596
30,0.74454074372397,0.7176470588235294,0.7257346816702589,0.7043196749829223,0.7471496883575955,,2.130345918041887,-3,-2.23362223117191,-0.10327631313002295
31,0.7861466585551807,0.7176470588235294,0.7256871074182193,0.7042800297728892,0.7470941850635494,sell,2.8774401031054366,-4,-3.144586634220723,-0.2671465311152863
32,0.7747110252997294,0.7333333333333333,0.7439899657902003,0.7225908171868768,0.7653891143935238,sell,3.6428292174989605,-5,-3.8735551264986468,-0.23072590899968626
33,0.7617306194533121,0.7473684210526316,0.7606099212036493,0.7392187016423324,0.7820011407649663,,3.6428292174989605,-5,-3.8086530972665606,-0.16582387976760016
34,0.743368633915689,0.7473684210526316,0.7605306307835834,0.7391473402642731,0.7819139213028937,,3.6428292174989605,-5,-3.716843169578445,-0.07401395207948447
35,0.7545197906714144,0.7473684210526316,0.7604513403635175,0.7390759788862138,0.7818267018408211,,3.6428292174989605,-5,-3.772598953357072,-0.12976973585811136
36,0.7753732469922615,0.7473684210526316,0.7603720499434514,0.7390046175081543,0.7817394823787486,,3.6428292174989605,-5,-3.8768662349613074,-0.23403701746234695
37,0.7703256354895509,0.7473684210526316,0.7602927595233855,0.738933256130095,0.781652262916676,,3.6428292174989605,-5,-3.8516281774477545,-0.20879895994879405
38,0.7510062241758229,0.7473684210526316,0.7602134691033194,0.7388618947520356,0.7815650434546033,,3.6428292174989605,-5,-3.7550311208791145,-0.11220190338015401
39,0.7329662886532069,0.7473684210526316,0.7601341786832535,0.7387905333739762,0.7814778239925309,buy,2.904038684124984,-4,-2.9318651546128276,-0.02782647048784348
40,0.7453298299770406,0.71,0.7201491737684448,0.6988134575011741,0.7414848900357155,sell,3.6455235741606997,-5,-3.726649149885203,-0.0811255757245033
41,0.7589284219022574,0.7238095238095238,0.7364167006000137,0.7150889133747497,0.7577444878252778,sell,4.403268061985978,-6,-4.553570531413545,-0.15030246942756698
42,0.7678450861732484,0.7363636363636363,0.7513971000081452,0.7300772418248876,0.7727169581914027,,4.403268061985978,-6,-4.6070705170394906,-0.2038024550535127
43,0.7521426377188121,0.7363636363636363,0.751301951504066,0.7299900223628151,0.7726138806453169,,4.403268061985978,-6,-4.512855826312872,-0.10958776432689454
44,0.7551787322942058,0.7363636363636363,0.7512068029999868,0.7299028029007424,0.7725108030992311,,4.403268061985978,-6,-4.5310723937652355,-0.12780433177925765
45,0.7557535118623101,0.7363636363636363,0.7511116544959077,0.7298155834386699,0.7724077255531454,,4.403268061985978,-6,-4.53452107117386,-0.13125300918788252
46,0.7583396082037749,0.7363636363636363,0.7510165059918285,0.7297283639765973,0.7723046480070596,,4.403268061985978,-6,-4.5500376492226495,-0.14676958723667166
47,0.77385120335255,0.7363636363636363,0.7509213574877494,0.7296411445145248,0.7722015704609739,sell,5.175469632446951,-7,-5.41695842346785,-0.24148879102089893
48,0.7756305541604162,0.7478260869565218,0.7646990883465612,0.7434268044153433,0.7859713722777791,,5.175469632446951,-7,-5.429413879122913,-0.25394424667596205
49,0.7864272977138332,0.7478260869565218,0.7645880817584688,0.7433237268692575,0.7858524366476801,sell,5.961322069094631,-8,-6.291418381710666,-0.33009631261603456
50,0.7844575142179194,0.7583333333333333,0.7773630341491673,0.7561066083019625,0.7986194599963721,,5.961322069094631,-8,-6.275660113743355,-0.31433804464872406
51,0.7870170264808232,0.7583333333333333,0.7772361694770618,0.7559876726718636,0.7984846662822599,,5.961322069094631,-8,-6.296136211846585,-0.334814142751954
52,0.7962919396735528,0.7583333333333333,0.7771093048049561,0.7558687370417645,0.7983498725681477,,5.961322069094631,-8,-6.370335517388423,-0.40901344829379127
53,0.7633342262927618,0.7583333333333333,0.7769824401328506,0.7557498014116656,0.7982150788540355,,5.961322069094631,-8,-6.1066738103420946,-0.1453517412474632
54,0.7547740906509777,0.7583333333333333,0.776855575460745,0.7556308657815667,0.7980802851399234,buy,5.205691203313065,-7,-5.283418634556844,-0.07772743124377879
55,0.7436279330325729,0.728,0.7440959552733929,0.7228791746362211,0.7653127359105647,,5.205691203313065,-7,-5.20539553122801,0.0002956720850546546
56,0.7296689794160774,0.728,0.7439849486853005,0.7227760970901353,0.7651938002804657,,5.205691203313065,-7,-5.107682855912542,0.09800834740052267
57,0.7236826854207399,0.728,0.7438739420972081,0.7226730195440496,0.7650748646503667,,5.205691203313065,-7,-5.065778797945179,0.13991240536788574
58,0.7533973773743908,0.728,0.7437629355091158,0.7225699419979638,0.7649559290202678,,5.205691203313065,-7,-5.273781641620736,-0.06809043830767081
59,0.7344108861918064,0.728,0.7436519289210234,0.722466864451878,0.7648369933901688,,5.205691203313065,-7,-5.1408762033426445,0.0648149999704204
60,0.7530559089740457,0.728,0.743540922332931,0.7223637869057923,0.7647180577600697,,5.205691203313065,-7,-5.27139136281832,-0.06570015950525487
61,0.7177457180930273,0.728,0.7434299157448386,0.7222607093597064,0.7645991221299708,buy,4.4834304939533585,-6,-4.306474308558164,0.17695618539519486
62,0.7111607315886604,0.7,0.7131304935629253,0.6919692162197998,0.7342917709060509,,4.4834304939533585,-6,-4.266964389531963,0.21646610442139558
