t,market_price,fair_value,reservation_price,bid,ask,fill,cash,inventory,unrealized_pnl,total_pnl
0,0.0243,0.0243,0.0243,0.003063988766380716,0.04553601123361928,,0.0,0,0.0,0.0
1,0.030394341595088626,0.0243,0.0243,0.003069833474817738,0.045530166525182256,,0.0,0,0.0,0.0
2,0.01,0.0243,0.0243,0.0030756781832547604,0.045524321816745233,,0.0,0,0.0,0.0
3,0.025724023916129143,0.0243,0.0243,0.003081522891691779,0.04551847710830822,,0.0,0,0.0,0.0
4,0.04446411704814696,0.0243,0.0243,0.0030873676001288014,0.045512632399871196,,0.0,0,0.0,0.0
5,0.01,0.0243,0.0243,0.00309321230856582,0.04550678769143418,,0.0,0,0.0,0.0
6,0.01,0.0243,0.0243,0.0030990570170028424,0.04550094298299716,,0.0,0,0.0,0.0
7,0.013271808063345707,0.0243,0.0243,0.0031049017254398646,0.045495098274560136,,0.0,0,0.0,0.0
8,0.01,0.0243,0.0243,0.0031107464338768834,0.045489253566123114,,0.0,0,0.0,0.0
9,0.010378976849914224,0.0243,0.0243,0.0031165911423139056,0.04548340885768609,,0.0,0,0.0,0.0
10,0.01,0.0243,0.0243,0.0031224358507509244,0.04547756414924907,,0.0,0,0.0,0.0
11,0.028302959497256572,0.0243,0.0243,0.0031282805591879466,0.04547171944081205,,0.0,0,0.0,0.0
12,0.043658650230972706,0.0243,0.0243,0.003134125267624969,0.045465874732375025,,0.0,0,0.0,0.0
13,0.04401133167064839,0.0243,0.0243,0.0031399699760619876,0.04546003002393801,,0.0,0,0.0,0.0
14,0.06557058922647663,0.0243,0.0243,0.00314581468449901,0.04545418531550099,sell,0.04545418531550099,-1,-0.06557058922647663,-0.02011640391097564
15,0.07285724661019372,0.11299999999999999,0.11516254212169767,0.0940142015146337,0.13631088272876163,buy,-0.048560016199132715,0,0.0,-0.048560016199132715
16,0.05324353502201926,0.10358333333333332,0.10358333333333332,0.08244083743470637,0.12472582923196027,buy,-0.1310008536338391,1,0.05324353502201926,-0.07775731861181984
17,0.059171373952568274,0.0956153846153846,0.093476221327435,0.07233957013724507,0.11461287251762492,buy,-0.20334042377108416,2,0.11834274790513655,-0.08499767586594761
18,0.03825015323835988,0.08878571428571427,0.08453076654356315,0.06339996006181024,0.10566157302531605,buy,-0.2667403838328944,3,0.11475045971507965,-0.15198992411781476
19,0.055121651602587335,0.08286666666666666,0.07651931330406209,0.055394351530746205,0.09764427507737797,buy,-0.32213473536364057,4,0.22048660641034934,-0.10164812895329123
20,0.05258205080273291,0.07768749999999999,0.06927111985069007,0.0481520027858112,0.09039023691556894,,-0.32213473536364057,4,0.21032820321093165,-0.11180653215270892
21,0.04747070099169105,0.07768749999999999,0.06931787751818624,0.0482046051617444,0.09043114987462808,buy,-0.370339340525385,5,0.23735350495845525,-0.13298583556692972
22,0.032693575054027674,0.07311764705882352,0.06271406604092654,0.04160663839292171,0.08382149368893137,buy,-0.4119459789183067,6,0.19616145032416604,-0.21578452859414066
23,0.056724723074806895,0.06905555555555556,0.056641394835323426,0.03553981189575563,0.07774297777489123,,-0.4119459789183067,6,0.3403483384488414,-0.07159764046946532
24,0.05201289727969051,0.06905555555555556,0.05671153133656768,0.035615793105436895,0.07780726956769846,,-0.4119459789183067,6,0.3120773836781431,-0.09986859524016362
25,0.04206069597244384,0.06905555555555556,0.056781667837811925,0.03569177431511816,0.07787156136050569,,-0.4119459789183067,6,0.2523641758346631,-0.15958180308364361
26,0.03412999016405706,0.06905555555555556,0.05685180433905618,0.03576775552479944,0.07793585315331292,buy,-0.44771373444310614,7,0.23890993114839942,-0.2088038032947067
27,0.044284674366921184,0.06542105263157895,0.051265168797114624,0.030186964691294903,0.07234337290293434,,-0.44771373444310614,7,0.3099927205684483,-0.13772101387465785
28,0.050594321935856695,0.06542105263157895,0.051346994715232915,0.030274635317850216,0.07241935411261562,,-0.44771373444310614,7,0.3541602535509969,-0.09355348089210924
29,0.05753425807098363,0.06542105263157895,0.051428820633351205,0.030362305944405525,0.07249533532229688,,-0.44771373444310614,7,0.4027398064968854,-0.04497392794622074
