step,p_poly,p_bs,p_blend,outcome,w_poly,w_bs,brier_blend,brier_poly,brier_bs
0,0.04501476184028979,0.0012602208251428725,0.02313749133271633,0,0.5,0.5,0.0005353435051715233,0.0020263287835380096,1.5881565281237824e-06
1,0.04858494645010164,0.0075851692309809446,0.028039139826854756,0,0.49888004236117844,0.5011199576388216,0.0006607684337007179,0.0021934129025486266,2.9561474395371917e-05
2,0.04171034573565339,0.006481796237092273,0.024019458912339805,0,0.4978252844603734,0.5021747155396266,0.000632823757947672,0.0020421929154949975,3.3712210416642455e-05
3,0.034312897934912705,0.007620857340573505,0.0208847396123531,0,0.49692275211781956,0.5030772478821803,0.0005836609056297016,0.0018259884277941822,3.980352446382511e-05
4,0.03954395057793933,0.01063702492129021,0.024981830951689057,0,0.49624114998542845,0.5037588500145717,0.0005917471000435151,0.0017735355476974474,5.447207940628988e-05
5,0.03310024134004245,0.009453336420135945,0.02117037483680089,0,0.4954998743535894,0.5045001256464106,0.000567820045158038,0.0016605506192093821,6.028766108395302e-05
6,0.04572172323116926,0.0015644692784320226,0.02341771217451276,0,0.4948958764390304,0.5051041235609697,0.0005650442163480788,0.0017219685272119908,5.202479008955368e-05
7,0.061082582946654404,0.001,0.030666686529900105,0,0.4937651657925609,0.506234834207439,0.0006119693971449635,0.0019731077037398563,4.564669132835947e-05
8,0.039093521777384045,0.007450667177161387,0.023025748227047872,0,0.4922147905637087,0.5077852094362914,0.0006028822509527896,0.001923685008319739,4.674288577907842e-05
9,0.03755430120216071,0.001954962752372228,0.019448656280006818,0,0.491405017323813,0.508594982676187,0.0005804190489672955,0.0018723490613660261,4.245078513748686e-05
10,0.050878104602222377,0.004962783834057458,0.027484124520272667,0,0.4904972960970847,0.5095027039029153,0.000596324326392619,0.00193746110377954,4.0830643159859145e-05
11,0.04928264409792073,0.007519182431015579,0.027954741896853704,0,0.4893167053255068,0.5106832946744931,0.0006117529320698764,0.0019784042625714386,4.2139598265778664e-05
