step,p_poly,p_cme,p_blend,outcome,w_poly,w_cme,brier_blend,brier_poly,brier_cme
0,0.36009841226859857,0.2201362776685717,0.2901173449685851,1,0.5,0.5,0.5039333839144509,0.4094740419811684,0.6081874254086311
1,0.3838996430006776,0.304468923079746,0.34516134297383816,0,0.5123007815439535,0.4876992184560465,0.3115348682989772,0.27842648893860805,0.35044437526498573
2,0.33806897157102256,0.28975728316123034,0.3143610035736729,1,0.5092705558900659,0.4907294441099342,0.36439019000615175,0.3316685547580866,0.40177782245082944
3,0.28875265289941804,0.30494476454098013,0.29663620731278806,1,0.5131237612557922,0.4868762387442079,0.39697279872044866,0.37521961325796893,0.4221088119228704
4,0.32362633718626216,0.3451603322838695,0.3341400820008302,0,0.5117606014623729,0.48823939853762705,0.3399081578562632,0.32112249183049435,0.3615141805347586
5,0.280668275600283,0.329377818935146,0.3044108168290247,1,0.5125690038701635,0.48743099612983654,0.36389751683763016,0.3538417648133904,0.37621750206832916
6,0.3648114882077951,0.22419292371242702,0.29570730882050567,0,0.5085700125351109,0.4914299874648891,0.32440398764509243,0.32230543011553264,0.3296524970646716
7,0.4672172196443627,0.20245313678928575,0.3357807142670557,0,0.5035712398752704,0.49642876012472964,0.2979470751986676,0.3093037426426172,0.2935693440060653
8,0.3206234785158936,0.3026755623621519,0.3115326077002894,0,0.49348599928081655,0.5065140007191834,0.2756254630277648,0.28635881734628543,0.2711296942333075
9,0.3103620080144048,0.2293995033649631,0.2693005977562084,1,0.4928342393063612,0.5071657606936388,0.30145507836893176,0.3052829916106493,0.3033992373513933
10,0.39918736401481586,0.2695037844540995,0.33439622957091275,0,0.5003906071734501,0.49960939282655,0.2842156020036873,0.29201640615414454,0.2824204239408195
11,0.38855096065280487,0.30358909908020776,0.3456881012705476,0,0.49550470541853275,0.5044952945814672,0.27048932378338303,0.2802626930599839,0.2665659170357789
12,0.3684331399198319,0.20424810595257656,0.28506859910090254,0,0.4922524982663442,0.5077475017336557,0.25593353781491907,0.2691457919469995,0.24926986870881246
13,0.2855625564233436,0.18560078182762088,0.23422999452630427,0,0.48647808520162267,0.5135219147983774,0.2415714058521243,0.2557458049244306,0.23392542453068474
14,0.3576598542029381,0.2803719608134891,0.31771802926009785,1,0.483207224428077,0.516792775571923,0.256500557968431,0.26620280878964125,0.25285469721420056
15,0.415624255556663,0.2717754355845319,0.3421591062169126,0,0.48928917627559687,0.5107108237244031,0.24778632646835133,0.2603616033532281,0.24166764660001067
16,0.25246283621719345,0.2601678771447231,0.25644024317236214,1,0.4837915862383457,0.5162084137616543,0.26573307855689393,0.2779174979345937,0.25964905385933623
17,0.3233907391167825,0.2715413905508087,0.29658674327719176,0,0.4830408369454252,0.5169591630545747,0.25585700176416487,0.26828772416858837,0.2493204801328324
18,0.20790218081593245,0.23557937570530882,0.22226118485596869,1,0.481197278213053,0.518802721786947,0.27422651033350576,0.2871893679047761,0.2669530280651615
19,0.2568369808172019,0.20946022370911574,0.2321100073274216,0,0.4780779648263442,0.5219220351736558,0.2632089375919072,0.2761281612453021,0.25579905592771707
20,0.2126611969766614,0.26333380596478717,0.2391864767294741,0,0.4765361349555054,0.5234638650444946,0.25339947249944783,0.26513276236217087,0.2469202767580115
21,0.34119270951402547,0.23113165235802435,0.2837623898548083,1,0.47819582018174556,0.5218041798182544,0.2651993289397682,0.27280977525468453,0.26256747036017924
22,0.2586042814845037,0.20426074710355574,0.23077608966331625,0,0.4879208329345686,0.5120791670654314,0.2559844713145735,0.26385614043500766,0.2529655130752716
23,0.3817011487057361,0.2902272428557311,0.33469761124257835,1,0.48615359728672614,0.5138464027132739,0.26376125453006344,0.2687910291465409,0.2634160069798093
24,0.372540086929938,0.267544054863113,0.31930708370327165,0,0.49299985743474556,0.5070001425652544,0.25728908489698443,0.2635908326354699,0.25574255955232084
25,0.3450455244296036,0.28626114146531256,0.3150145246037779,0,0.48913302629937816,0.510866973700622,0.2512100489667675,0.2580318165313711,0.24905805499696324
26,0.15865922313435893,0.23042820234296255,0.19547775230044206,0,0.48698546959869005,0.51301453040131,0.24332121573260695,0.2494074066259721,0.2418002439391131
27,0.31690456833226904,0.2436776483265337,0.27950122904830155,1,0.4892132663638188,0.5107867336361812,0.2531711179901177,0.25716497670237753,0.2535939316427477
28,0.35611992436791423,0.23003827891119338,0.29254710691031416,0,0.495780553725227,0.504219446274773,0.2473922452925824,0.25267037062753034,0.24667405847452964
29,0.3690647188802646,0.2345343253176781,0.3006305364901224,0,0.49131062076091286,0.5086893792390872,0.24215846109850764,0.24878831716401828,0.2402851348504526
30,0.2375891387595685,0.2778163167099761,0.25824655836755256,0,0.4864810145655572,0.5135189854344427,0.23649822960851338,0.2425838101218407,0.23502374036593146
